Volcano Name,Country,Latitude,Longitude,Elevation (m),Type,Status,Last Known Eruption,year,mo,dy,tsu,eq,vei,deaths,damage_mil,houses_destroyed,total_deaths,total_damage_mil
Macauley,New Zealand,-30.21,-178.475,238,Caldera,Holocene,U,-4360,,,,,6,,,,,
Kikai,Japan,30.793,130.305,704,Caldera,Historical,D1,-4350,,,,,7,,,,,
Masaya,Nicaragua,11.985,-86.165,594,Caldera,Historical,D1,-4050,,,,,6,,,,,
Witori,Papua New Guinea,-5.576,150.516,724,Caldera,Historical,D2,-4000,,,,,6,,,,,
Taal,Philippines,14.002,120.993,311,Stratovolcano,Historical,D1,-3580,,,,,6,,,,,
Pinatubo,Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1,-3550,,,,,6,,,,,
Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,-2420,,,,,5,,,,,
Long Island,Papua New Guinea,-5.358,147.12,1280,Complex volcano,Historical,D1,-2040,,,,,6,,,,,
Black Peak,United States,56.552,-158.785,1032,Stratovolcano,Radiocarbon,D7,-1900,,,,,6,,,,,
"Hudson, Cerro",Chile,-45.9,-72.97,1905,Stratovolcano,Historical,D1,-1890,,,,,6,,,,,
St. Helens,United States,46.2,-122.18,2549,Stratovolcano,Historical,D1,-1860,,,,,6,,,,,
Veniaminof,United States,56.17,-159.38,2507,Stratovolcano,Historical,D1,-1750,,,,,6,,,,,
Aniakchak,United States,56.88,-158.17,1341,Caldera,Historical,D2,-1645,,,,,6,,,,,
Santorini,Greece,36.404,25.396,367,Shield volcano,Historical,D2,-1610,,,3,5877,7,,,,,
Redoubt,United States,60.485,-152.742,3108,Stratovolcano,Historical,D1,-1550,,,,,,,,,,
Taupo,New Zealand,-38.82,176,760,Caldera,Radiocarbon,D6,-1460,,,,,6,,,,,
Witori,Papua New Guinea,-5.576,150.516,724,Caldera,Historical,D2,-1370,,,,,6,,,,,
Pinatubo,Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1,-1050,,,,,6,,,,,
Tungurahua,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,-1010,,,,,5,,,,,
Cotopaxi,Ecuador,-0.677,-78.436,5911,Stratovolcano,Historical,D2,-455,,,,,4,,,,,
Raoul Island,New Zealand,-29.27,-177.92,516,Stratovolcano,Historical,D1,-250,,,,,6,,,,,
Santorini,Greece,36.404,25.396,367,Shield volcano,Historical,D2,-197,,,3473,7795,3,,,,,
St. Andrew Strait,Papua New Guinea,-2.38,147.35,270,Complex volcano,Historical,D2,-150,,,,,,,,,,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,-141,,,,,,40,,,40,
Okmok,United States,53.43,-168.13,1073,Shield volcano,Historical,D1,-100,,,,,6,,,,,
Apoyeque,Nicaragua,12.242,-86.342,518,Pyroclastic shield,Radiocarbon,D7,-50,,,,,6,,,,,
Santorini,Greece,36.404,25.396,367,Shield volcano,Historical,D2,46,,,21,,3,,,,,
Ambrym,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,Historical,D1,50,,,,,6,,,,,
